vegetable_name,price,quantity
marchew,0.62,88
marchew,5.3,20
pomidor,9.78,50
pomidor,9.48,96
marchew,3.33,21
marchew,2.33,26
brokuły,2.35,95
pomidor,2.0,45
brokuły,8.98,39
marchew,9.03,7
marchew,4.55,83
brokuły,7.55,18
pomidor,9.55,97
pomidor,5.78,38
marchew,6.64,29
brokuły,8.15,2
pomidor,8.49,64
pomidor,3.32,99
pomidor,4.72,27
pomidor,4.51,70
pomidor,2.55,6
pomidor,3.25,45
brokuły,7.92,20
marchew,9.2,67
marchew,4.73,51
brokuły,9.33,58
brokuły,8.26,3
marchew,5.89,50
brokuły,8.29,87
brokuły,4.58,42
marchew,5.3,97
brokuły,4.44,16
marchew,1.04,14
pomidor,9.3,4
pomidor,9.8,59
pomidor,2.17,31
marchew,4.13,91
brokuły,0.83,90
marchew,5.15,82
brokuły,5.91,80
marchew,9.58,87
pomidor,2.81,29
marchew,2.74,13
marchew,8.87,98
marchew,4.12,100
marchew,6.55,77
brokuły,9.07,60
marchew,7.84,8
brokuły,1.29,47
marchew,4.76,56
pomidor,8.25,59
brokuły,4.13,76
pomidor,2.33,47
marchew,4.44,6
pomidor,9.79,73
pomidor,3.3,98
pomidor,8.39,50
marchew,2.98,35
pomidor,1.86,67
marchew,8.18,90
marchew,9.39,90
marchew,8.65,19
marchew,2.67,83
brokuły,1.05,16
brokuły,1.01,57
pomidor,6.87,65
brokuły,2.43,14
brokuły,4.21,65
brokuły,7.29,91
pomidor,8.08,31
brokuły,9.39,43
brokuły,2.16,43
marchew,4.02,59
pomidor,0.99,88
pomidor,2.37,1
pomidor,2.61,60
pomidor,7.69,78
marchew,5.08,36
marchew,3.89,41
pomidor,7.58,58
pomidor,7.58,12
brokuły,8.85,96
brokuły,7.34,40
pomidor,5.6,62
brokuły,9.91,8
pomidor,3.69,43
brokuły,6.18,97
brokuły,9.47,63
brokuły,2.79,87
marchew,2.04,40
pomidor,2.69,25
marchew,9.47,74
marchew,8.66,14
brokuły,8.81,40
marchew,2.97,8
brokuły,2.37,70
pomidor,0.7,35
marchew,4.56,12
marchew,8.58,91
marchew,2.52,46
marchew,6.84,60
marchew,4.55,97
pomidor,1.91,34
brokuły,4.02,91
brokuły,3.83,73
brokuły,2.69,68
marchew,9.8,11
marchew,3.28,70
marchew,8.86,93
pomidor,0.64,33
pomidor,4.78,15
brokuły,1.51,98
pomidor,7.07,44
marchew,9.29,43
pomidor,1.65,61
pomidor,8.72,20
marchew,4.87,9
brokuły,5.49,14
