vegetable_name,price,quantity
brokuly,4.04,67
marchew,8.61,20
pomidor,8.6,4
pomidor,5.22,49
pomidor,9.17,79
brokuly,2.65,95
pomidor,3.18,47
brokuly,1.37,59
pomidor,1.93,53
brokuly,9.88,38
pomidor,3.5,90
pomidor,9.63,17
brokuly,8.61,37
pomidor,1.57,64
marchew,9.16,65
marchew,8.86,51
pomidor,4.03,16
brokuly,9.85,22
pomidor,3.14,67
pomidor,8.87,35
brokuly,2.78,63
brokuly,5.58,95
marchew,9.04,100
pomidor,7.91,70
pomidor,3.12,46
marchew,9.6,28
marchew,3.67,60
pomidor,3.07,56
brokuly,4.23,36
marchew,5.63,87
marchew,4.6,81
brokuly,5.45,23
pomidor,7.8,36
marchew,6.21,73
brokuly,2.02,14
marchew,5.4,60
brokuly,6.49,42
marchew,9.1,100
pomidor,3.64,10
marchew,2.29,24
marchew,8.95,23
marchew,4.22,54
brokuly,3.41,46
pomidor,1.57,25
brokuly,3.35,15
brokuly,5.15,1
pomidor,3.73,87
brokuly,2.88,75
brokuly,1.57,67
marchew,4.54,14
marchew,2.43,17
marchew,0.71,77
pomidor,2.32,65
brokuly,4.14,84
brokuly,4.79,95
pomidor,4.86,84
marchew,5.68,97
pomidor,2.8,88
marchew,4.19,6
marchew,9.14,68
pomidor,8.78,21
marchew,6.33,33
marchew,3.0,51
brokuly,7.24,85
pomidor,2.02,42
marchew,7.0,87
pomidor,0.81,53
brokuly,1.63,49
brokuly,5.95,51
brokuly,6.14,25
pomidor,3.46,93
brokuly,9.9,16
brokuly,4.93,69
marchew,7.28,48
pomidor,0.62,59
brokuly,4.69,54
marchew,8.57,81
marchew,6.72,85
pomidor,3.17,69
brokuly,4.22,82
marchew,6.78,6
pomidor,9.11,86
marchew,3.08,65
brokuly,9.25,21
pomidor,8.81,99
brokuly,8.49,44
pomidor,6.69,100
brokuly,3.72,86
pomidor,7.72,31
marchew,5.31,56
brokuly,5.72,25
marchew,7.73,65
pomidor,5.8,76
brokuly,6.79,19
pomidor,5.06,27
marchew,4.62,57
brokuly,6.92,10
brokuly,9.78,53
marchew,1.73,20
pomidor,0.65,30
pomidor,1.39,36
pomidor,6.76,38
marchew,2.02,14
brokuly,2.11,73
brokuly,3.2,72
marchew,6.9,56
marchew,6.38,58
marchew,5.28,4
marchew,2.21,37
marchew,2.4,87
brokuly,9.75,87
brokuly,2.06,69
brokuly,6.38,85
pomidor,6.01,55
pomidor,2.27,6
brokuly,0.83,82
pomidor,3.09,42
pomidor,9.55,29
marchew,1.27,55
brokuly,7.46,17
pomidor,2.27,57
pomidor,7.91,68
pomidor,9.4,42
marchew,1.05,40
marchew,5.59,3
pomidor,6.97,42
pomidor,6.83,40
pomidor,4.13,100
marchew,5.84,42
pomidor,1.82,10
marchew,1.02,16
pomidor,4.71,62
pomidor,2.19,6
brokuly,6.34,60
marchew,1.44,10
marchew,3.48,63
marchew,1.64,33
pomidor,7.52,94
pomidor,1.81,19
brokuly,9.97,84
brokuly,8.87,55
pomidor,3.71,50
pomidor,4.9,27
pomidor,4.81,65
brokuly,8.84,82
brokuly,0.74,46
pomidor,5.54,84
marchew,1.58,69
pomidor,9.71,18
pomidor,0.75,13
pomidor,6.51,81
brokuly,5.08,71
marchew,1.0,95
pomidor,4.46,44
brokuly,1.59,47
marchew,7.78,22
brokuly,9.29,57
brokuly,4.83,38
marchew,3.54,51
pomidor,4.89,91
brokuly,8.48,79
marchew,2.53,77
brokuly,6.64,43
pomidor,5.42,35
pomidor,3.19,83
pomidor,9.71,25
brokuly,6.55,91
marchew,6.65,42
pomidor,2.05,11
marchew,1.41,91
marchew,6.75,71
marchew,1.69,37
pomidor,6.07,13
pomidor,9.05,11
marchew,5.0,34
brokuly,9.28,24
brokuly,2.2,100
pomidor,7.94,17
pomidor,2.64,39
marchew,6.41,47
brokuly,6.79,69
pomidor,9.79,45
pomidor,3.0,13
marchew,7.94,87
marchew,4.22,70
brokuly,1.12,43
marchew,2.55,18
brokuly,7.65,6
brokuly,2.66,74
marchew,1.3,52
pomidor,5.69,14
pomidor,6.47,22
pomidor,2.73,13
pomidor,1.61,14
brokuly,1.02,26
marchew,5.59,37
brokuly,5.38,40
marchew,7.12,51
marchew,6.74,1
pomidor,8.1,43
pomidor,5.68,94
brokuly,7.69,53
pomidor,9.58,37
marchew,7.45,36
pomidor,7.54,20
marchew,5.6,37
pomidor,4.86,96
brokuly,3.02,80
marchew,7.2,54
brokuly,3.0,71
pomidor,7.9,69
brokuly,2.8,11
pomidor,0.64,45
pomidor,9.72,9
pomidor,5.97,32
pomidor,6.79,87
marchew,4.25,22
pomidor,1.14,97
pomidor,7.75,92
brokuly,2.89,52
pomidor,4.46,54
marchew,5.35,50
marchew,9.67,72
marchew,5.47,33
marchew,3.52,22
brokuly,1.57,96
marchew,6.26,70
brokuly,2.21,59
marchew,1.75,9
brokuly,5.55,95
marchew,6.25,98
pomidor,2.54,47
marchew,2.58,47
pomidor,2.66,62
pomidor,3.32,53
marchew,9.64,27
pomidor,2.92,52
marchew,6.92,48
pomidor,6.7,48
marchew,5.39,53
marchew,5.49,68
marchew,7.98,30
marchew,1.27,22
pomidor,7.06,92
marchew,7.69,64
brokuly,1.86,26
marchew,6.56,6
marchew,8.1,17
marchew,1.6,86
pomidor,0.8,82
marchew,6.01,38
pomidor,8.85,73
brokuly,8.52,8
pomidor,7.14,83
pomidor,1.93,54
pomidor,6.44,11
brokuly,0.95,67
pomidor,6.64,24
brokuly,6.37,29
brokuly,9.19,93
brokuly,0.82,16
pomidor,4.35,80
marchew,1.79,68
pomidor,9.07,1
marchew,1.46,93
brokuly,6.06,53
brokuly,7.26,92
marchew,2.71,90
brokuly,7.38,54
brokuly,8.5,73
pomidor,6.41,19
pomidor,7.47,77
brokuly,1.19,64
pomidor,8.36,47
marchew,4.01,27
pomidor,4.54,61
brokuly,8.44,54
pomidor,4.89,3
brokuly,7.84,60
marchew,8.33,80
brokuly,4.47,92
marchew,5.03,99
marchew,8.48,48
brokuly,8.33,98
pomidor,3.83,15
marchew,8.53,87
pomidor,3.49,84
brokuly,0.78,24
pomidor,6.46,65
pomidor,9.93,87
brokuly,8.07,99
marchew,6.61,57
marchew,5.18,87
pomidor,1.15,23
brokuly,8.76,82
brokuly,2.64,59
pomidor,2.03,42
brokuly,2.81,72
marchew,4.58,80
pomidor,6.54,66
pomidor,9.09,83
marchew,3.81,38
marchew,3.37,10
brokuly,3.3,59
marchew,7.3,97
pomidor,2.69,41
pomidor,2.71,6
marchew,8.72,57
brokuly,4.36,65
marchew,6.12,6
marchew,5.58,37
pomidor,5.71,59
brokuly,1.08,52
brokuly,3.0,29
marchew,0.53,40
pomidor,5.79,29
marchew,0.55,78
marchew,2.24,97
brokuly,6.97,50
brokuly,5.92,54
pomidor,6.85,12
brokuly,5.43,53
pomidor,3.72,81
brokuly,2.81,70
pomidor,9.1,30
marchew,3.13,96
pomidor,6.91,31
pomidor,5.59,7
brokuly,7.49,9
brokuly,6.14,36
brokuly,5.34,69
brokuly,5.84,26
marchew,9.56,98
marchew,2.34,43
pomidor,9.41,55
marchew,1.69,75
brokuly,8.12,80
brokuly,3.64,53
brokuly,2.71,77
brokuly,2.69,8
brokuly,6.38,86
brokuly,3.6,84
pomidor,4.43,7
brokuly,1.04,100
marchew,9.52,48
brokuly,5.68,93
pomidor,8.13,38
brokuly,9.26,94
marchew,0.63,42
marchew,2.26,80
pomidor,9.9,34
marchew,3.74,45
pomidor,9.68,62
marchew,5.18,84
pomidor,8.97,62
marchew,3.16,23
brokuly,3.83,22
marchew,2.18,76
pomidor,5.19,64
pomidor,4.01,100
pomidor,9.04,28
brokuly,3.93,3
marchew,9.15,80
pomidor,4.14,91
brokuly,5.26,20
brokuly,2.16,28
brokuly,2.2,69
pomidor,6.06,92
brokuly,6.07,2
brokuly,6.6,59
brokuly,8.98,66
pomidor,9.01,99
marchew,5.45,45
marchew,6.87,1
brokuly,6.8,90
marchew,2.69,14
pomidor,7.98,95
brokuly,9.6,97
marchew,8.76,18
pomidor,3.9,29
brokuly,7.28,11
brokuly,3.76,40
pomidor,3.58,91
pomidor,1.36,99
marchew,3.08,85
marchew,7.83,7
brokuly,9.72,6
pomidor,5.72,90
pomidor,1.73,79
brokuly,0.9,39
marchew,1.06,12
marchew,9.63,24
pomidor,5.65,47
pomidor,4.42,97
pomidor,5.88,50
marchew,8.38,61
brokuly,9.5,14
pomidor,3.62,10
pomidor,7.33,72
brokuly,7.25,2
marchew,8.12,46
marchew,1.22,19
brokuly,7.13,3
marchew,4.42,52
brokuly,4.29,37
pomidor,1.01,5
brokuly,4.83,11
marchew,3.34,16
marchew,1.52,63
marchew,7.78,21
marchew,2.72,12
brokuly,3.3,69
pomidor,9.58,40
pomidor,2.32,27
marchew,7.91,46
marchew,2.93,7
brokuly,8.47,69
marchew,4.2,50
marchew,7.53,84
pomidor,7.86,92
marchew,3.67,78
marchew,5.58,95
marchew,4.03,27
marchew,5.43,62
pomidor,7.11,52
marchew,8.27,34
brokuly,6.82,62
brokuly,5.61,73
marchew,6.97,24
marchew,4.88,99
brokuly,0.94,79
brokuly,8.0,7
brokuly,4.32,71
brokuly,6.34,6
brokuly,1.52,85
pomidor,0.9,18
pomidor,9.79,15
brokuly,9.4,96
brokuly,2.48,60
brokuly,6.19,72
marchew,8.51,76
pomidor,3.81,97
brokuly,1.77,21
pomidor,2.43,17
pomidor,1.22,89
marchew,5.91,3
pomidor,5.64,39
marchew,1.01,36
pomidor,8.34,65
marchew,9.1,64
marchew,8.11,40
marchew,3.61,54
pomidor,6.01,68
brokuly,3.09,6
marchew,2.4,9
marchew,0.74,29
marchew,9.68,38
brokuly,2.24,58
marchew,6.03,70
brokuly,3.95,11
brokuly,4.3,32
brokuly,7.61,43
brokuly,0.5,62
brokuly,9.05,93
pomidor,1.67,49
pomidor,9.03,100
pomidor,5.45,64
brokuly,8.18,70
marchew,4.43,93
pomidor,9.58,24
marchew,9.85,44
brokuly,4.51,56
marchew,8.04,50
pomidor,9.58,72
brokuly,2.94,100
marchew,7.92,75
marchew,4.24,48
